,City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
32,Chuy,UY,1553028308,20,80,-33.69,-53.46,293.607,7.61
33,Ilulissat,GL,1553025000,90,69,69.22,-51.1,250.15,6.2
34,Ribeira Grande,PT,1553025600,40,77,38.52,-28.7,289.15,7.2
35,Tilichiki,RU,1553028308,12,52,60.47,166.1,245.057,1.46
36,Busselton,AU,1553028137,12,54,-33.64,115.35,292.59,6.76
37,Rikitea,PF,1553028309,0,100,-23.12,-134.97,298.757,9.81
38,Cherskiy,RU,1553028238,76,69,68.75,161.3,246.656,2.86
39,Thinadhoo,MV,1553028029,92,100,0.53,72.93,302.556,3.71
40,Nagua,DO,1553025600,20,70,19.37,-69.85,304.15,7.7
41,Hearst,CA,1553028313,64,58,49.69,-83.67,276.707,3.61
42,Mar del Plata,AR,1553028313,0,40,-46.43,-67.52,290.757,2.81
43,Nanortalik,GL,1553028313,36,100,60.14,-45.24,265.357,2.96
44,Cape Town,ZA,1553028171,75,77,-33.93,18.42,294.26,4.1
45,Upernavik,GL,1553028314,24,100,72.79,-56.15,251.356,9.91
46,Yellowknife,CA,1553028168,40,69,62.45,-114.38,282.59,5.1
47,Hami,CN,1553028314,12,79,42.84,93.51,271.707,1.36
48,Castro,CL,1553025600,40,54,-42.48,-73.76,286.15,3.1
49,Hobart,AU,1553028195,75,93,-42.88,147.33,290.15,1.5
50,Nikolskoye,RU,1553028284,40,94,59.7,30.79,275.93,1.0
51,Saskylakh,RU,1553028315,76,53,71.97,114.09,249.557,1.61
52,Impfondo,CD,1553028316,24,88,1.62,18.06,298.406,1.11
53,Dingle,PH,1553028378,44,81,11.0,122.67,297.957,6.16
54,Port Lincoln,AU,1553028378,56,100,-34.72,135.86,288.556,3.01
55,Mount Gambier,AU,1553025600,90,88,-37.83,140.78,290.15,3.1
56,Vaini,IN,1553028379,0,89,15.34,74.49,291.056,0.61
57,Constitucion,MX,1553028015,5,13,23.99,-104.67,293.71,2.1
58,Raudeberg,NO,1553028303,75,75,61.99,5.14,279.15,3.6
59,Mocuba,MZ,1553028379,92,96,-16.84,36.99,296.107,1.41
60,Santa Lucia,IT,1553027990,75,66,39.93,9.66,284.15,6.7
61,Sao Filipe,CV,1553028380,32,92,14.9,-24.5,295.556,5.81
62,Semme,FR,1553028316,0,60,46.2,1.5,279.82,3.1
63,Sanguem,IN,1553025600,20,78,15.23,74.14,298.15,2.1
64,Yiyang,CN,1553028384,12,84,28.59,112.35,293.357,5.51
65,Rush,US,1553028382,40,31,40.31,-81.37,283.71,1.86
66,Mabaruma,GY,1553028384,64,84,8.2,-59.78,299.257,2.96
67,Saint George,GR,1553025000,40,81,39.45,22.34,285.15,2.6
68,Albert,FR,1553028328,0,75,50.0,2.65,282.15,2.1
69,Bredasdorp,ZA,1553026567,56,83,-34.53,20.04,294.15,6.2
70,Talnakh,RU,1553028385,80,89,69.49,88.39,260.607,3.86
71,Almetyevsk,RU,1553028386,0,58,54.9,52.3,262.857,1.66
72,Ishigaki,JP,1553028386,0,100,24.34,124.16,295.707,5.76
73,Port Alfred,ZA,1553028384,56,96,-33.59,26.89,293.71,1.79
74,East London,ZA,1553028363,8,97,-33.02,27.91,298.107,4.31
75,Katherine,AU,1553025600,75,83,-14.47,132.26,299.15,2.1
76,Beloha,MG,1553028387,8,88,-25.17,45.06,296.056,1.31
77,Atuona,PF,1553028387,44,100,-9.8,-139.03,300.806,6.31
78,Waipawa,NZ,1553027896,32,94,-39.94,176.59,287.59,0.45
79,Lagunas,PE,1553028387,32,92,-5.23,-75.68,299.056,1.96
80,Severo-Kurilsk,RU,1553028388,56,100,50.68,156.12,271.656,9.31
81,Vangaindrano,MG,1553028388,76,89,-23.35,47.6,297.507,1.46
82,Hilo,US,1553028318,90,50,19.71,-155.08,297.15,2.1
83,Teguise,ES,1553025600,40,68,29.06,-13.56,291.15,5.7
84,Narsaq,GL,1553025000,20,33,60.91,-46.05,262.15,2.6
85,Vila Franca do Campo,PT,1553028365,75,76,37.72,-25.43,287.15,5.7
86,Hasaki,JP,1553027676,20,87,35.73,140.83,280.37,4.1
87,Brae,GB,1553025000,64,75,60.4,-1.35,281.15,9.3
88,Moerai,PF,1553028389,76,98,-22.43,-151.33,299.906,11.56
89,Pochutla,MX,1553027470,40,66,15.74,-96.47,304.82,4.1
90,Kavieng,PG,1553028390,8,100,-2.57,150.8,301.607,2.21
91,Esperance,TT,1553028347,20,55,10.24,-61.45,303.71,6.7
92,Bambous Virieux,MU,1553028242,40,83,-20.34,57.76,300.15,2.6
93,Port Macquarie,AU,1553028305,0,100,-31.43,152.91,290.93,1.5
94,Puerto Ayora,EC,1553027469,0,62,-0.74,-90.35,302.15,4.6
95,Oyama,JP,1553028212,20,75,36.31,139.8,284.26,1.0
96,Sorong,ID,1553028159,56,100,-0.86,131.25,299.957,3.21
97,Metro,ID,1553028391,68,91,-5.11,105.31,299.007,2.61
98,Kahului,US,1553028344,20,64,20.89,-156.47,297.04,7.7
99,La Ronge,CA,1553025600,20,46,55.1,-105.3,283.15,7.2
100,Sorland,NO,1553025000,75,80,67.67,12.69,276.15,10.3
101,Acapulco,MX,1553024400,5,66,16.86,-99.88,303.15,2.6
102,Silver City,US,1553028197,1,23,32.77,-108.28,292.59,3.6
103,Norman Wells,CA,1553025600,20,49,65.28,-126.83,282.15,1.0
104,Port Blair,IN,1553028392,0,100,11.67,92.75,301.957,1.16
105,Butaritari,KI,1553028454,92,100,3.07,172.79,298.156,5.36
106,Beli Manastir,HR,1553025600,75,87,45.77,18.61,279.15,2.6
107,Cam Ranh,VN,1553025600,20,78,11.92,109.15,298.15,1.5
108,Vostok,RU,1553028454,92,96,46.45,135.83,276.357,2.76
109,Sterling,US,1553028292,20,27,39.0,-77.4,284.82,2.1
110,Puyo,EC,1553025600,75,88,-1.48,-78.0,300.15,0.71
111,Methoni,GR,1553028343,0,87,36.82,21.7,287.59,0.76
112,Sitka,US,1553028312,92,55,37.17,-99.65,285.93,0.89
113,Verkhoyansk,RU,1553028456,0,61,67.55,133.39,236.057,1.16
114,Avarua,CK,1553025600,32,83,-21.21,-159.78,302.15,2.1
115,Kaoma,ZM,1553028457,76,65,-14.8,24.8,295.806,1.81
116,Longyearbyen,NO,1553025000,75,79,78.22,15.63,266.15,8.2
117,Muravlenko,RU,1553028457,64,89,63.79,74.5,266.906,4.16
118,Tazovskiy,RU,1553028458,80,81,67.47,78.7,263.007,4.16
119,Hueytamalco,MX,1553028458,92,97,19.94,-97.29,286.607,1.06
120,Dwarka,IN,1553025600,0,49,28.58,77.04,295.15,2.6
121,Marovoay,MG,1553025600,20,83,-16.11,46.64,301.15,1.0
122,Hermanus,ZA,1553028303,92,89,-34.42,19.24,292.04,0.45
123,Yulara,AU,1553025600,64,27,-25.24,130.99,299.15,3.6
124,Aden,YE,1553028283,0,96,12.79,45.03,299.406,6.26
125,Thompson,CA,1553025600,20,49,55.74,-97.86,281.15,8.2
126,Tiksi,RU,1553028460,0,52,71.64,128.87,237.956,1.66
127,Padang,ID,1553028463,56,100,-0.92,100.36,301.556,2.96
128,Arraial do Cabo,BR,1553025600,0,70,-22.97,-42.02,304.15,3.6
129,Palembang,ID,1553028463,80,97,-2.99,104.76,295.957,1.61
130,Pisco,PE,1553025600,0,30,-13.71,-76.2,295.15,7.2
131,Kologriv,RU,1553028464,92,99,58.83,44.31,274.457,3.46
132,Umm Kaddadah,SD,1553028464,0,15,13.6,26.69,293.806,4.91
133,Airai,TL,1553028464,0,89,-8.93,125.41,292.556,0.61
134,Itaituba,BR,1553025600,20,52,-4.26,-55.99,307.15,1.11
135,Lata,IN,1553028465,64,88,30.78,78.62,277.357,1.06
136,Ancud,CL,1553025600,40,54,-41.87,-73.83,286.15,3.1
137,La Carolina,ES,1553028465,8,47,38.27,-3.62,281.857,3.66
138,Noumea,NC,1553025600,90,83,-22.28,166.46,298.15,3.31
139,Pangody,RU,1553028466,56,86,65.85,74.49,263.857,5.46
140,Chapada dos Guimaraes,BR,1553025600,40,50,-15.46,-55.75,309.15,2.6
141,Naantali,FI,1553028391,8,86,60.45,22.03,272.59,4.6
142,Te Anau,NZ,1553028466,12,86,-45.41,167.72,286.406,1.61
143,Camacha,PT,1553025600,75,72,33.08,-16.33,290.15,5.7
144,Alofi,NU,1553025600,75,83,-19.06,-169.92,301.15,1.0
145,Labuhan,ID,1553028467,36,94,-2.54,115.51,295.357,0.31
146,Bluff,AU,1553028202,20,91,-23.58,149.07,294.607,1.31
147,Victoria,BN,1553025600,75,88,5.28,115.24,299.15,2.31
148,Aloleng,PH,1553028468,0,100,16.13,119.78,297.457,3.91
149,Kaitangata,NZ,1553028469,24,84,-46.28,169.85,287.707,2.06
150,Bontang,ID,1553028469,24,96,0.12,117.47,300.357,4.66
151,Khatanga,RU,1553028469,88,83,71.98,102.47,261.707,5.01
152,Dunedin,NZ,1553028273,0,96,-45.87,170.5,287.59,1.86
153,Dikson,RU,1553028470,56,88,73.51,80.55,262.707,2.86
154,Pevek,RU,1553028470,56,99,69.7,170.27,250.307,12.16
155,Nizhniy Kuranakh,RU,1553028470,48,77,58.84,125.49,257.357,1.16
156,Saint-Augustin,FR,1553028309,0,75,44.83,-0.61,282.04,3.1
157,Rye,GB,1553028336,20,93,50.95,0.73,283.71,5.1
158,Hukuntsi,BW,1553028532,36,37,-23.98,21.76,297.707,2.86
159,Moose Factory,CA,1553025600,1,48,51.26,-80.61,277.15,5.1
160,Cabra,ES,1553028422,0,50,37.47,-4.43,285.15,0.5
161,Katangli,RU,1553028532,12,100,51.71,143.23,257.656,1.86
162,Sambava,MG,1553028533,56,100,-14.27,50.17,301.056,5.46
163,Finote Selam,ET,1553028533,12,85,10.7,37.27,284.556,1.21
164,Banda Aceh,ID,1553028533,24,100,5.56,95.32,296.656,1.11
165,Uyuni,BO,1553028533,0,6,-20.46,-66.82,292.457,4.71
166,Celestun,MX,1553028534,100,100,20.87,-90.4,297.257,7.91
167,Santa Cruz,US,1553028282,1,34,36.97,-122.03,296.48,1.5
168,Faanui,PF,1553028241,64,100,-16.48,-151.75,301.007,2.46
169,Codrington,AU,1553028327,90,83,-28.95,153.24,295.15,1.46
170,Barinas,VE,1553028536,44,39,8.64,-70.23,307.906,3.86
171,Shenjiamen,CN,1553028536,68,87,29.96,122.3,286.607,9.71
172,Batsfjord,NO,1553026800,20,73,70.63,29.72,269.15,1.0
173,Plotnikovo,RU,1553025600,40,73,55.04,83.4,267.15,1.0
174,Sabang,PH,1553028536,88,89,13.72,123.58,298.656,5.21
175,La Palma,CO,1553028538,76,87,5.36,-74.39,296.556,0.76
176,Newport,GB,1553028502,40,93,51.59,-3.0,283.15,4.6
177,Ibirama,BR,1553028363,8,83,-27.05,-49.52,299.26,0.45
178,Khandyga,RU,1553028539,0,50,62.65,135.58,245.706,1.06
179,Bud,NO,1553028403,75,93,62.91,6.91,280.15,8.7
180,Klaksvik,FO,1553026800,64,70,62.23,-6.59,279.15,10.3
181,Touros,BR,1553025600,40,74,-5.2,-35.46,303.15,4.1
182,Taiobeiras,BR,1553028540,56,51,-15.81,-42.23,302.707,1.51
183,Eenhana,NA,1553025600,24,33,-17.48,16.34,304.15,0.5
184,Soyo,AO,1553022600,75,83,-6.13,12.37,302.15,3.1
185,Sayyan,YE,1553028540,0,48,15.17,44.32,283.107,0.86
186,Iquique,CL,1553025600,0,56,-20.22,-70.14,296.15,7.2
187,Lorengau,PG,1553028541,92,100,-2.02,147.27,301.056,4.51
188,Turukhansk,RU,1553028541,88,84,65.8,87.96,260.457,4.91
189,Lagoa,PT,1553028131,0,87,37.14,-8.45,288.71,2.6
190,Saint Anthony,US,1553028362,1,28,43.97,-111.68,285.93,2.6
191,Saint-Georges,CA,1553028458,0,43,46.12,-70.67,271.48,1.79
192,Ilo,PE,1553025600,40,61,-17.65,-71.34,298.15,5.1
193,Bubaque,GW,1553028544,0,95,11.28,-15.83,299.107,4.81
194,Harper,US,1553028488,1,32,30.3,-99.24,293.15,6.2
195,Baiyin,CN,1553025600,0,41,36.55,104.13,277.15,2.0
196,Clyde River,CA,1553025600,90,83,70.47,-68.59,250.15,14.9
197,Sola,NO,1553028498,75,93,58.89,5.65,279.15,7.2
198,Zambezi,ZM,1553028545,0,79,-13.55,23.12,294.007,0.81
199,Jimenez,PA,1553027999,20,59,8.54,-82.37,305.15,5.1
200,High Level,CA,1553025600,40,20,58.52,-117.13,290.15,1.0
201,Chokurdakh,RU,1553028546,12,39,70.62,147.9,241.057,2.51
202,Mercedes,UY,1553028546,76,63,-33.25,-58.03,294.656,8.06
203,Obo,CF,1553028547,0,67,5.39,26.49,294.207,2.26
204,Launceston,AU,1553028410,44,93,-41.43,147.14,289.26,4.6
205,Aketi,CD,1553028547,8,53,2.74,23.78,301.507,1.86
206,Hirado,JP,1553028190,20,81,33.32,129.49,283.71,1.76
207,Karratha,AU,1553028609,92,68,-20.74,116.85,301.357,4.76
208,Necochea,AR,1553028412,64,75,-38.55,-58.74,287.04,1.34
209,Kinshasa,CD,1553025600,20,78,-4.32,15.31,297.15,1.5
210,Umm Bab,QA,1553025360,1,45,25.21,50.81,290.15,3.6
211,Cayenne,GF,1553025600,100,70,4.94,-52.33,302.15,5.1
212,Arona,IT,1553028424,20,39,45.76,8.56,283.15,3.6
213,Husavik,CA,1553028605,68,70,50.56,-96.99,277.04,3.13
214,Tuktoyaktuk,CA,1553025600,90,92,69.44,-133.03,265.15,1.5
215,Finnsnes,NO,1553026800,0,59,69.23,17.98,274.15,20.1
216,Grosseto,IT,1553028604,0,67,42.76,11.11,283.71,6.7
217,Coihaique,CL,1553025600,0,46,-45.58,-72.07,286.15,10.8
218,Cidreira,BR,1553028615,48,80,-30.17,-50.22,297.007,3.86
219,Benghazi,LY,1553028615,92,88,32.12,20.07,291.607,7.81
220,Omsukchan,RU,1553028615,36,62,62.53,155.8,246.807,1.86
221,Tembisa,ZA,1553028438,0,55,-26.02,28.2,293.15,1.21
222,Petropavlovsk-Kamchatskiy,RU,1553025600,75,92,53.05,158.65,270.15,8.0
223,Lubao,PH,1553028591,75,78,14.94,120.6,299.15,1.0
224,Katsuura,JP,1553026872,20,87,33.93,134.5,280.15,4.1
225,Barabai,ID,1553028616,12,95,-2.59,115.38,296.306,1.11
226,Kachug,RU,1553028617,76,80,53.96,105.89,260.957,1.31
227,Salalah,OM,1553025000,0,73,17.01,54.1,298.15,2.6
228,Yarmouth,GB,1553028603,20,81,50.71,-1.5,283.15,2.6
229,Stepnyak,KZ,1553028617,0,67,52.83,70.79,259.556,3.31
230,Hambantota,LK,1553028462,20,100,6.12,81.12,299.457,4.71
231,Mareeba,AU,1553028317,75,88,-16.99,145.42,298.15,3.1
232,Manaure,CO,1553025600,0,66,11.78,-72.45,302.15,5.1
233,Muddebihal,IN,1553028619,0,47,16.33,76.13,293.857,4.46
234,Bayir,TR,1553026800,0,87,37.27,28.22,287.15,2.1
235,Gat,SN,1553027400,0,56,14.69,-16.54,296.15,8.2
236,Medicine Hat,CA,1553028342,40,57,50.04,-110.68,284.26,5.1
237,Torbay,CA,1553028408,75,53,47.66,-52.73,270.37,7.7
238,Ballina,IE,1553028606,40,93,54.11,-9.15,283.15,3.1
239,Smithers,CA,1553025600,5,56,54.78,-127.17,280.15,2.6
240,Canavieiras,BR,1553025600,0,79,-15.68,-38.95,303.15,3.26
241,Caete,BR,1553025600,75,61,-19.88,-43.67,301.15,1.5
242,Ola,RU,1553028620,0,100,59.58,151.3,253.507,4.56
243,Northam,GB,1553028607,40,81,51.04,-4.21,284.15,0.5
244,Tagusao,PH,1553028621,56,96,9.19,117.81,298.707,1.86
245,Grindavik,IS,1553028397,75,80,63.84,-22.43,276.15,15.4
246,Verkhnyaya Inta,RU,1553028622,88,90,65.99,60.32,274.156,3.06
247,Balakhninskiy,RU,1553028625,64,86,58.01,114.28,259.056,1.06
248,Kasongo-Lunda,CD,1553028625,80,96,-6.48,16.82,293.406,0.96
249,Nizhnevartovsk,RU,1553025600,0,86,60.93,76.58,271.15,2.0
250,Bow Island,CA,1553028342,40,57,49.87,-111.38,284.26,5.1
251,Jacmel,HT,1553025600,20,58,18.24,-72.54,303.15,5.1
252,Sept-Iles,CA,1553028505,20,53,50.2,-66.38,268.15,4.6
253,Neringa,LT,1553026800,90,80,55.69,21.18,275.15,1.5
254,Ponta Delgada,PT,1553028605,75,76,37.73,-25.67,287.15,5.7
255,Caravelas,BR,1553028627,0,99,-17.73,-39.27,302.056,7.01
256,Kruisfontein,ZA,1553028627,88,98,-34.0,24.73,293.457,4.46
257,Casper,US,1553028513,1,51,42.87,-106.31,278.15,1.5
258,Flinders,AU,1553028605,75,100,-34.58,150.85,294.26,2.1
259,Sindgi,IN,1553028692,0,43,16.92,76.23,294.056,4.01
260,Mahibadhoo,MV,1553028693,56,100,3.78,72.97,301.806,4.21
261,Korbach,DE,1553028550,40,80,51.28,8.87,275.93,2.1
262,Porosozero,RU,1553028693,80,98,62.72,32.71,272.857,1.41
263,Sabha,LY,1553028594,92,24,27.03,14.43,296.656,4.46
264,Umreth,IN,1553025600,0,26,22.7,73.11,299.15,2.6
265,Nan,TH,1553028694,0,97,18.78,100.78,291.457,1.06
266,Baijiantan,CN,1553028694,56,79,45.63,85.18,264.457,1.41
267,Dawson,US,1553028674,40,37,39.85,-89.46,286.15,3.6
268,Santa Rosa,AR,1553023800,75,50,-36.62,-64.29,287.15,10.8
269,Risor,NO,1553028394,56,88,58.72,9.23,276.48,0.45
270,Lasa,CY,1553028421,20,93,34.92,32.53,287.15,1.5
271,Raghogarh,IN,1553028698,0,58,24.45,77.19,287.906,1.21
272,Hokitika,NZ,1553028699,20,98,-42.72,170.96,290.406,0.51
273,Vilhena,BR,1553025600,75,94,-12.74,-60.15,297.15,2.6
274,Rocha,UY,1553028656,12,59,-34.48,-54.34,292.457,5.76
275,Rawatbhata,IN,1553028700,0,77,24.93,75.59,289.957,1.66
276,Ambilobe,MG,1553028700,0,96,-13.19,49.05,294.857,1.41
277,Mount Isa,AU,1553025600,8,68,-20.73,139.49,295.15,1.86
278,Kalmar,SE,1553028304,0,86,56.66,16.36,276.48,1.5
279,La Rioja,AR,1553028701,92,73,-29.41,-66.86,292.607,5.16
280,Kokopo,PG,1553028701,0,100,-4.34,152.27,299.957,1.06
281,Riesa,DE,1553028650,40,70,51.3,13.31,278.71,1.5
282,Limbang,BN,1553025600,75,94,4.75,115.01,299.15,0.5
283,Yandyki,RU,1553028706,92,87,45.77,47.13,278.007,1.26
284,Viransehir,TR,1553028706,0,72,37.24,39.76,277.707,1.16
285,Santo Tomas,PH,1553028707,12,97,15.88,120.59,293.556,1.71
286,Tuatapere,NZ,1553028607,80,94,-46.13,167.69,287.59,0.45
287,Hanting,CN,1553028707,68,84,30.92,118.55,290.757,5.11
288,Adamovka,RU,1553028708,0,73,51.52,59.94,262.957,2.26
289,Batetskiy,RU,1553028485,56,93,58.65,30.3,273.406,2.56
290,Provideniya,RU,1553028708,68,100,64.42,-173.23,256.056,5.71
291,Rawson,AR,1553028708,80,36,-43.3,-65.11,289.906,3.66
292,San Angelo,US,1553028431,1,22,31.46,-100.44,293.71,4.1
293,Outjo,NA,1553028709,56,22,-20.11,16.16,302.056,2.56
294,Tondano,ID,1553023800,20,100,1.3,124.91,296.15,1.0
295,Yushala,RU,1553025600,0,73,57.08,64.26,267.15,4.0
296,Eydhafushi,MV,1553028709,8,100,5.1,73.07,301.656,3.46
297,Georgetown,GY,1553025600,20,66,6.8,-58.16,303.15,5.1
298,Plettenberg Bay,ZA,1553028710,24,100,-34.05,23.37,294.107,4.21
299,Vuktyl,RU,1553028710,92,90,63.86,57.31,275.056,3.41
300,Portland,US,1553028647,75,29,45.52,-122.67,296.48,5.7
301,Cochrane,CL,1553025600,20,41,-47.25,-72.57,287.15,5.7
302,Leningradskiy,RU,1553028711,56,84,69.38,178.42,252.057,16.06
303,Oranjemund,ZA,1553028715,92,95,-28.55,16.43,291.556,5.41
304,Mecca,SA,1553028621,0,80,21.43,39.83,292.906,1.26
305,Fortuna,ES,1553028696,20,66,38.18,-1.13,286.15,4.6
306,Anqing,CN,1553028716,92,86,30.51,117.04,293.207,7.76
307,San Cristobal,EC,1553028376,90,82,-0.39,-78.55,289.15,2.6
308,Gornyy,RU,1553028777,0,73,51.76,48.54,265.107,1.31
309,Udachnyy,RU,1553028778,64,72,66.42,112.4,253.456,1.06
310,Privolzhsk,RU,1553028778,88,94,57.38,41.28,274.306,3.91
311,Biograd na Moru,HR,1553028647,75,100,43.94,15.45,282.15,5.7
312,Madimba,CM,1553025600,40,88,4.42,9.93,301.15,1.0
313,Loma Alta,HN,1553026980,20,27,14.79,-87.58,305.93,6.2
314,Coquimbo,CL,1553025600,0,68,-29.95,-71.34,291.15,5.1
315,Daru,SL,1553028779,32,61,7.99,-10.85,301.707,4.11
316,Khani,GE,1553025600,0,80,41.96,42.96,278.15,1.5
317,Tura,IN,1553028780,8,96,25.52,90.21,288.107,2.26
318,Poum,MK,1553028781,64,74,41.28,20.71,278.107,1.16
319,Mbanza-Ngungu,CD,1553028781,24,95,-5.25,14.87,294.357,2.26
320,Alice Springs,AU,1553025600,0,30,-23.7,133.88,293.15,2.6
321,Ayan,TR,1553028781,0,70,40.67,33.6,270.906,0.96
322,Corinto,BR,1553028782,24,69,-18.36,-44.46,301.757,2.66
323,Vardo,US,1553028781,1,37,39.62,-77.74,284.15,4.6
324,Asyut,EG,1553025600,0,42,27.18,31.19,291.15,5.1
325,Eureka,US,1553028604,1,100,40.8,-124.16,290.93,2.1
326,Buraydah,SA,1553025600,20,42,26.33,43.97,292.15,4.6
327,Port Moresby,PG,1553025600,40,100,-9.47,147.16,297.15,2.6
328,Ondarroa,ES,1553028617,75,81,43.32,-2.42,284.15,0.5
329,Miraflores,CO,1553028787,56,61,5.2,-73.14,291.306,1.11
330,Morant Bay,JM,1553025600,20,54,17.88,-76.41,302.15,8.2
331,Newcastle,ZA,1553028788,0,89,-27.76,29.92,284.757,1.36
332,Luanda,AO,1553025600,75,88,-8.83,13.24,300.15,1.5
333,Acandi,CO,1553028792,24,86,8.51,-77.28,300.357,0.31
334,Takhli,TH,1553028399,0,87,15.26,100.34,300.93,1.96
335,Silifke,TR,1553028785,0,91,36.38,33.93,282.406,0.46
336,Goundam,ML,1553028794,8,27,16.42,-3.66,301.406,4.76
337,Gimli,CA,1553028645,68,70,50.63,-96.99,277.04,1.34
338,Broken Hill,AU,1553025600,0,32,-31.97,141.45,294.15,2.6
339,Puerto Colombia,CO,1553028400,40,55,10.99,-74.96,305.15,6.2
340,Abnub,EG,1553025600,0,42,27.27,31.15,291.15,5.1
341,Samarai,PG,1553028796,56,100,-10.62,150.67,299.156,2.96
342,North Bend,US,1553028634,1,87,43.41,-124.22,292.59,5.7
343,Altamira,BR,1553025600,40,62,-3.2,-52.21,305.15,2.1
344,Wangaratta,AU,1553028684,76,87,-36.36,146.32,293.71,1.06
345,Kelowna,CA,1553028756,1,46,49.89,-119.5,285.93,1.5
346,Meulaboh,ID,1553028797,48,100,4.14,96.13,299.306,1.41
347,Grand-Santi,GF,1553028797,0,64,4.27,-54.38,303.156,1.41
348,Pailon,BO,1553025600,75,66,-17.66,-62.72,303.15,6.7
349,Tonkino,RU,1553028798,80,95,57.37,46.46,274.906,4.41
350,Ocampo,PH,1553028798,88,89,13.56,123.37,298.656,5.21
351,Marsabit,KE,1553028801,0,73,2.34,37.99,296.457,2.51
352,Haapiti,PF,1553028785,75,70,-17.57,-149.87,303.15,2.1
353,Baturaja,ID,1553028802,76,99,-4.12,104.17,295.406,1.61
354,Bahir Dar,ET,1553028802,36,88,11.59,37.39,285.207,1.61
355,Loandjili,CG,1553025600,40,94,-4.77,11.87,299.15,3.1
356,Igarka,RU,1553028803,88,83,67.47,86.57,262.656,5.01
357,Tapes,BR,1553028803,0,75,-30.67,-51.4,296.357,5.06
358,Beroroha,MG,1553028864,12,89,-21.68,45.17,294.607,1.26
359,Vercheres,CA,1553028609,1,84,45.78,-73.35,274.82,5.7
360,Waingapu,ID,1553028865,92,97,-9.65,120.26,297.707,3.11
361,Quatre Cocos,MU,1553028843,40,83,-20.21,57.76,300.15,2.6
362,Luderitz,NA,1553028865,24,91,-26.65,15.16,289.406,5.71
363,Azare,NG,1553028866,0,30,11.67,10.19,298.306,1.96
364,Kenai,US,1553028724,1,64,60.55,-151.26,277.59,4.6
365,Bitkine,TD,1553028867,0,40,11.98,18.21,296.156,1.86
366,Nantucket,US,1553028724,75,41,41.28,-70.1,279.15,4.1
367,Tual,ID,1553028868,88,98,-5.67,132.75,302.156,4.66
368,Pokhara,NP,1553028868,68,88,28.21,83.99,282.556,1.26
369,Morros,BR,1553025600,75,83,-2.87,-44.04,301.15,7.2
370,Vila do Maio,CV,1553025600,0,47,15.13,-23.22,297.15,6.7
371,Abilene,US,1553028839,1,19,32.45,-99.73,293.71,4.6
372,Vilyuysk,RU,1553028869,68,81,63.75,121.63,252.557,1.11
373,Gambela,ET,1553028869,8,83,8.25,34.59,291.306,1.51
374,Auki,NG,1553028869,0,24,12.18,6.51,299.357,3.46
375,Paamiut,GL,1553028870,68,100,61.99,-49.67,266.406,5.11
376,Kiunga,PG,1553028870,48,96,-6.12,141.3,296.107,0.96
